,date,new_user,avg_stars,review_count,review_multiply
0,2004-10-01,37,4.545454545454546,11.0,50.00000000000001
1,2004-11-01,6,0.0,0.0,0.0
2,2004-12-01,15,4.5,2.0,9.0
3,2005-01-01,18,4.571428571428571,7.0,32.0
4,2005-02-01,25,4.0,1.0,4.0
5,2005-03-01,49,4.097560975609756,41.0,168.0
6,2005-04-01,58,4.142857142857143,42.0,174.00000000000003
7,2005-05-01,51,4.173076923076923,52.0,217.0
8,2005-06-01,47,4.090909090909091,22.0,90.0
9,2005-07-01,70,4.357142857142857,42.0,182.99999999999997
10,2005-08-01,91,3.9047619047619047,21.0,82.0
11,2005-09-01,63,4.228571428571429,35.0,148.0
12,2005-10-01,69,3.890710382513661,183.0,712.0
13,2005-11-01,75,4.0,100.0,400.0
14,2005-12-01,125,3.992857142857143,140.0,559.0
15,2006-01-01,203,3.89247311827957,465.0,1810.0
16,2006-02-01,202,3.8411552346570397,277.0,1064.0
17,2006-03-01,249,3.8862275449101795,167.0,649.0
18,2006-04-01,257,3.9306122448979592,245.0,963.0
19,2006-05-01,226,3.825,160.0,612.0
20,2006-06-01,279,3.8360655737704916,183.0,702.0
21,2006-07-01,320,3.8424908424908426,273.0,1049.0
22,2006-08-01,577,3.773218142548596,463.0,1747.0
23,2006-09-01,481,3.7518072289156628,415.0,1557.0
24,2006-10-01,492,3.626349892008639,463.0,1679.0
25,2006-11-01,423,3.7948717948717947,429.0,1628.0
26,2006-12-01,541,3.7649769585253456,434.0,1634.0
27,2007-01-01,787,3.9470468431771892,982.0,3876.0
28,2007-02-01,717,3.9049733570159857,1126.0,4397.0
29,2007-03-01,783,3.8513333333333333,1500.0,5777.0
30,2007-04-01,883,3.7963671128107075,1046.0,3971.0
31,2007-05-01,948,3.8307291666666665,1152.0,4413.0
32,2007-06-01,1022,3.8313080771979986,1399.0,5360.0
33,2007-07-01,1194,3.8588709677419355,1736.0,6699.0
34,2007-08-01,1228,3.8214285714285716,1820.0,6955.0
35,2007-09-01,1005,3.7533546325878593,1565.0,5874.0
36,2007-10-01,995,3.7361282367447597,1622.0,6060.0
37,2007-11-01,1044,3.8178053830227743,1449.0,5532.0
38,2007-12-01,1082,3.752577319587629,1649.0,6188.0
39,2008-01-01,1472,3.7420995277878677,2753.0,10302.0
40,2008-02-01,1399,3.7846798780487805,2624.0,9931.0
41,2008-03-01,1581,3.78515625,2816.0,10659.0
42,2008-04-01,1546,3.752362333007494,3069.0,11516.0
43,2008-05-01,1641,3.709101382488479,3472.0,12878.0
44,2008-06-01,1869,3.707778369738945,3754.0,13919.0
45,2008-07-01,2294,3.7006491945179127,4159.0,15391.0
46,2008-08-01,2204,3.6813725490196076,4488.0,16522.0
47,2008-09-01,2095,3.683367185736854,4431.0,16321.0
48,2008-10-01,1935,3.709005209625403,4031.0,14951.0
49,2008-11-01,2150,3.6974025974025975,3850.0,14235.0
50,2008-12-01,2137,3.673849878934625,4130.0,15173.0
51,2009-01-01,2987,3.711954711954712,6006.0,22294.0
52,2009-02-01,2761,3.738191061215844,4721.0,17648.0
53,2009-03-01,2955,3.6843836565096955,5776.0,21281.0
54,2009-04-01,3387,3.704150667398062,5469.0,20258.0
55,2009-05-01,3349,3.6862147753236862,5252.0,19360.0
56,2009-06-01,3561,3.6908489909533753,5748.0,21215.0
57,2009-07-01,3730,3.735660042010018,6189.0,23120.0
58,2009-08-01,4270,3.698615865456169,6719.0,24851.0
59,2009-09-01,3748,3.699904428161835,6278.0,23228.0
60,2009-10-01,3332,3.671576363317552,5703.0,20939.0
61,2009-11-01,3026,3.6561945331913384,5634.0,20599.0
62,2009-12-01,3290,3.665167416291854,6003.0,22002.0
63,2010-01-01,4591,3.6813966175668305,9165.0,33740.0
64,2010-02-01,4300,3.710318903843822,8247.0,30599.0
65,2010-03-01,4815,3.7081262047276047,9857.0,36551.0
66,2010-04-01,4337,3.7336800764250078,9421.0,35175.0
67,2010-05-01,4475,3.72487702037948,8538.0,31803.0
68,2010-06-01,5747,3.73198565373329,9201.0,34338.0
69,2010-07-01,7469,3.7512809379070777,11515.0,43196.0
70,2010-08-01,6980,3.7367572715949886,13649.0,51003.0
71,2010-09-01,5971,3.7721431651573956,11595.0,43738.0
72,2010-10-01,5351,3.7356735410267663,11395.0,42568.0
73,2010-11-01,5427,3.7378449970093137,11703.0,43744.0
74,2010-12-01,6127,3.7283027965284474,12444.0,46395.0
75,2011-01-01,7721,3.7503225410087855,16277.0,61044.0
76,2011-02-01,7873,3.737526092519022,14851.0,55506.0
77,2011-03-01,8368,3.732950996536256,17611.0,65741.0
78,2011-04-01,7981,3.745824345146379,16225.0,60776.0
79,2011-05-01,8241,3.7280140130466295,16556.0,61721.0
80,2011-06-01,8401,3.7485108820160367,17460.0,65449.0
81,2011-07-01,9364,3.749857372542918,19281.0,72301.0
82,2011-08-01,8705,3.715774182237139,19963.0,74178.0
83,2011-09-01,7585,3.7400739239298915,16774.0,62736.0
84,2011-10-01,7868,3.7354850910924795,15863.0,59256.0
85,2011-11-01,7597,3.728509624427864,15949.0,59466.0
86,2011-12-01,7147,3.706043272817707,16084.0,59608.0
87,2012-01-01,7957,3.7205298670371105,20156.0,74991.0
88,2012-02-01,7158,3.7241003271537623,17423.0,64885.0
89,2012-03-01,8112,3.7027532467532467,19250.0,71278.0
90,2012-04-01,7575,3.7121541974194234,18833.0,69911.0
91,2012-05-01,7881,3.716473293613463,19134.0,71111.0
92,2012-06-01,8478,3.7157627876920016,20117.0,74750.0
93,2012-07-01,9166,3.717115472387038,21910.0,81442.0
94,2012-08-01,8654,3.7271619975639463,21346.0,79560.0
